Time,AccumGyroZ,AngularVelocityZDevice,AngularVelocityZWorld,Yaw,
395.866,558.500977,,,,
395.866,558.500977,,,,
395.866,558.500977,,,,
396.114,558.500977,,,,
396.114,558.500977,,,,
396.114,558.500977,,,,
396.114,558.500977,,,,
396.114,558.500977,,,,
396.365,558.457031,,,,
396.365,558.457031,,,,
396.365,558.457031,,,,
396.365,558.457031,,,,
396.365,558.457031,,,,
396.365,558.457031,,,,
396.615,558.457031,,,,
396.615,558.457031,,,,
396.615,558.457031,,,,
396.615,558.457031,,,,
396.615,558.457031,,,,
396.867,558.457031,,,,
396.867,558.457031,,,,
396.867,558.457031,,,,
396.867,558.457031,,,,
396.867,558.457031,,,,
397.114,558.457031,,,,
397.114,558.457031,,,,
397.114,558.457031,,,,
397.114,558.457031,,,,
397.114,558.457031,,,,
397.114,558.457031,,,,
397.366,558.457031,,,,
397.366,558.457031,,,,
397.366,558.457031,,,,
397.366,558.457031,,,,
397.366,558.457031,,,,
397.614,558.457031,,,,
397.614,558.457031,,,,
397.614,558.457031,,,,
397.614,558.457031,,,,
397.614,558.457031,,,,
397.866,558.457031,,,,
397.866,558.457031,,,,
397.866,558.457031,,,,
397.866,558.457031,,,,
397.866,558.457031,,,,
398.115,558.457031,,,,
398.115,558.457031,,,,
398.115,558.457031,,,,
398.115,558.457031,,,,
398.115,558.457031,,,,
398.115,558.457031,,,,
398.365,558.457031,,,,
398.365,558.457031,,,,
398.365,558.457031,,,,
398.365,558.457031,,,,
398.365,558.457031,,,,
398.614,558.457031,,,,
398.614,558.457031,,,,
398.614,558.457031,,,,
398.614,558.457031,,,,
398.614,558.457031,,,,
398.866,558.457031,,,,
398.866,558.457031,,,,
398.866,558.457031,,,,
398.866,558.457031,,,,
398.866,558.457031,,,,
399.114,558.457031,,,,
399.114,558.457031,,,,
399.114,558.457031,,,,
399.114,558.457031,,,,
399.114,558.457031,,,,
399.114,558.457031,,,,
399.365,558.457031,,,,
399.365,558.457031,,,,
399.365,558.457031,,,,
399.365,558.457031,,,,
399.365,558.457031,,,,
399.615,558.457031,,,,
399.615,558.457031,,,,
399.615,558.457031,,,,
399.615,558.457031,,,,
399.615,558.457031,,,,
399.615,558.457031,,,,
399.866,558.457031,,,,
399.866,558.457031,,,,
399.866,558.457031,,,,
399.866,558.457031,,,,
399.866,558.457031,,,,
400.116,558.457031,,,,
400.116,558.457031,,,,
400.116,558.457031,,,,
400.116,558.457031,,,,
400.116,558.457031,,,,
400.365,558.457031,,,,
400.365,558.457031,,,,
400.365,558.457031,,,,
400.365,558.457031,,,,
400.365,558.457031,,,,
400.616,558.457031,,,,
400.616,558.457031,,,,
400.616,558.457031,,,,
400.616,558.457031,,,,
400.616,558.457031,,,,
400.616,558.457031,,,,
400.866,558.457031,,,,
400.866,558.457031,,,,
400.866,558.457031,,,,
400.866,558.457031,,,,
400.866,558.457031,,,,
401.116,558.457031,,,,
401.116,558.457031,,,,
401.116,558.457031,,,,
401.116,558.457031,,,,
401.116,558.457031,,,,
401.366,558.457031,,,,
401.366,558.457031,,,,
401.366,558.457031,,,,
401.366,558.457031,,,,
401.366,558.457031,,,,
401.616,558.457031,,,,
401.616,558.457031,,,,
401.616,558.457031,,,,
401.616,558.457031,,,,
401.616,558.457031,,,,
401.867,558.457031,,,,
401.867,558.457031,,,,
401.867,558.457031,,,,
401.867,558.457031,,,,
401.867,558.457031,,,,
401.867,558.457031,,,,
402.116,558.457031,,,,
402.116,558.457031,,,,
402.116,558.457031,,,,
402.116,558.457031,,,,
402.116,558.457031,,,,
402.366,558.457031,,,,
402.366,558.457031,,,,
402.366,558.457031,,,,
402.366,558.457031,,,,
402.366,558.457031,,,,
402.615,558.457031,,,,
402.615,558.457031,,,,
402.615,558.457031,,,,
402.615,558.457031,,,,
402.615,558.457031,,,,
402.867,558.457031,,,,
402.867,558.457031,,,,
402.867,558.457031,,,,
402.867,558.457031,,,,
402.867,558.457031,,,,
402.867,558.457031,,,,
403.115,558.457031,,,,
403.115,558.457031,,,,
403.115,558.457031,,,,
403.115,558.457031,,,,
403.115,558.457031,,,,
403.367,558.457031,,,,
